Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,286.146,286.58,281.35,282.52,10.09,16014492
2010-10-04,281.6,282.9,277.77,278.64,9.9514,15546424
2010-10-05,282.0,289.45,281.8205,288.94,10.3193,17927350
2010-10-06,289.59,291.99,285.26,289.19,10.3282,23959502
2010-10-07,290.3362,290.48,286.91,289.22,10.3293,14585611
2010-10-08,291.7129,294.5,290.0,294.07,10.5025,23514402
2010-10-11,294.74,297.24,294.6,295.36,10.5486,15276819
2010-10-12,295.41,299.5,292.49,298.54,10.6621,19947809
2010-10-13,300.2,301.96,299.8,300.14,10.7193,22503227
2010-10-14,301.69,302.47,300.4,302.31,10.7968,15546275
2010-10-15,307.44,315.0,304.91,314.74,11.2407,32935492
2010-10-18,318.47,319.0,314.29,318.0,11.3571,39444913
2010-10-19,303.4,313.77,300.02,309.49,11.0532,44027119
2010-10-20,309.0,314.25,306.87,310.53,11.0904,25772290
2010-10-21,312.36,314.74,306.8,309.52,11.0543,19694903
2010-10-22,309.07,310.04,306.3,307.47,10.9811,13313408
2010-10-25,309.09,311.6,308.44,308.84,11.03,14015428
2010-10-26,306.87,309.74,305.65,308.05,11.0018,14033191
2010-10-27,307.65,309.9,305.6,307.83,10.9939,14250010
2010-10-28,307.95,308.0,300.9,305.24,10.9014,19680220
2010-10-29,304.23,305.88,300.87,300.98,10.7493,15375304
2010-11-01,302.22,305.6,302.2,304.18,10.8636,15138893
2010-11-02,307.0,310.19,307.0,309.36,11.0486,15497491
2010-11-03,311.37,312.88,308.53,312.8,11.1714,18155264
2010-11-04,315.45,320.18,315.03,318.27,11.3668,22945997
2010-11-05,317.99,319.57,316.75,317.13,11.3261,12901895
2010-11-08,317.2,319.7702,316.76,318.62,11.3793,10061901
2010-11-09,321.05,321.3,314.5,316.08,11.2886,13704115
2010-11-10,316.64,318.77,313.55,318.03,11.3582,13722339
2010-11-11,315.0,318.4,314.25,316.655,11.3091,12902919
2010-11-12,316.0,316.5,303.63,308.03,11.0011,28423066
2010-11-15,308.46,310.54,306.27,307.035,10.9655,14414422
2010-11-16,305.72,307.6,299.32,301.59,10.7711,23533906
2010-11-17,301.2,303.99,297.76,300.5,10.7321,17123201
2010-11-18,305.2,309.67,304.69,308.43,11.0154,17660349
2010-11-19,307.97,308.4,305.24,306.73,10.9546,13744399
2010-11-22,306.68,313.36,305.87,313.36,11.1914,14038356
2010-11-23,310.45,311.75,306.56,308.73,11.0261,18551612
2010-11-24,312.0,315.4,311.75,314.795,11.2427,14795448
2010-11-26,313.74,317.6999,312.94,315.76,11.2771,8490891
