Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,157.08,157.44,152.2,153.71,7.6855,8691126
2010-10-04,153.95,155.96,152.79,155.39,7.7695,5354314
2010-10-05,157.08,161.21,157.0145,160.87,8.0435,5620928
2010-10-06,160.6,160.68,154.6,155.4,7.77,6060796
2010-10-07,156.51,157.4,153.39,156.27,7.8135,4635900
2010-10-08,155.18,156.28,152.78,155.55,7.7775,6922014
2010-10-11,154.89,156.63,152.34,153.03,7.6515,4486390
2010-10-12,152.51,156.95,151.4,156.48,7.824,5289793
2010-10-13,156.69,156.79,153.85,155.17,7.7585,5637813
2010-10-14,155.16,156.9499,154.23,155.53,7.7765,4032909
2010-10-15,158.4199,164.88,156.75,164.64,8.232,10135456
2010-10-18,165.0,165.19,161.82,163.56,8.178,6338544
2010-10-19,160.68,162.8,157.0,158.67,7.9335,7531854
2010-10-20,158.78,159.87,156.57,158.67,7.9335,5790387
2010-10-21,162.67,166.13,161.29,164.97,8.2485,13585342
2010-10-22,162.45,170.17,162.27,169.13,8.4565,16322252
2010-10-25,171.57,171.99,168.32,169.0,8.45,6534224
2010-10-26,167.5701,171.0,167.5,169.95,8.4975,4693643
2010-10-27,168.91,169.75,166.54,167.51,8.3755,5729134
2010-10-28,168.31,168.49,165.05,166.84,8.342,4688210
2010-10-29,165.8,168.5,164.81,165.23,8.2615,4998465
2010-11-01,164.45,164.58,161.52,162.58,8.129,5245249
2010-11-02,163.75,165.94,163.36,164.61,8.2305,4264710
2010-11-03,165.4,168.61,162.29,168.47,8.4235,6119680
2010-11-04,169.86,172.53,168.4,168.93,8.4465,7402048
2010-11-05,169.35,171.65,168.59,170.77,8.5385,5218668
2010-11-08,170.84,173.2,168.78,171.99,8.5995,5710955
2010-11-09,172.67,173.14,169.06,170.27,8.5135,3980867
2010-11-10,170.59,173.37,169.41,173.33,8.6665,5450045
2010-11-11,171.0,172.05,169.4201,170.37,8.5185,5697867
2010-11-12,170.12,171.26,165.05,165.68,8.284,7167318
2010-11-15,165.16,165.35,158.56,158.9,7.945,9648534
2010-11-16,158.74,160.91,156.77,157.78,7.889,6573783
2010-11-17,157.84,160.85,157.55,158.35,7.9175,4527206
2010-11-18,160.7401,165.0,160.7401,164.17,8.2085,6230844
2010-11-19,163.95,164.99,162.84,164.82,8.241,4466200
2010-11-22,165.1,170.6,165.0,170.39,8.5195,6149610
2010-11-23,168.61,168.81,164.62,168.2,8.41,6472593
2010-11-24,171.53,177.89,171.53,177.25,8.8625,10055739
2010-11-26,177.36,178.38,176.16,177.5,8.875,4272138
2010-11-29,179.99,181.8425,177.57,179.49,8.9745,9699540
2010-11-30,176.95,177.7,174.9,175.4,8.77,6767225
2010-12-01,179.16,179.32,176.0,176.55,8.8275,5778757
2010-12-02,176.86,177.45,173.92,176.53,8.8265,5541683
2010-12-03,175.5,176.4,174.05,175.68,8.784,4909659
2010-12-06,175.52,178.43,174.6,178.05,8.9025,5663482
2010-12-07,180.5,181.47,176.57,176.77,8.8385,5079928
2010-12-08,177.49,178.16,175.2,176.29,8.8145,3735998
2010-12-09,177.77,178.11,173.8,174.85,8.7425,4555974
2010-12-10,174.88,175.95,173.36,175.62,8.781,3566523
2010-12-13,176.33,177.94,173.73,174.25,8.7125,4206511
2010-12-14,174.28,175.76,173.09,173.94,8.697,3689528
2010-12-15,173.72,179.0,173.5909,175.57,8.7785,5817620
2010-12-16,175.58,178.3,175.04,178.04,8.902,4123222
2010-12-17,178.41,178.75,177.02,177.58,8.879,4508074
2010-12-20,179.27,183.98,178.04,183.29,9.1645,8735272
2010-12-21,183.88,185.65,182.6001,184.75,9.2375,5112753
2010-12-22,185.0,185.45,184.11,184.76,9.238,2580840
2010-12-23,184.34,184.98,181.8905,182.59,9.1295,3359880
2010-12-27,181.9019,183.14,180.45,182.14,9.107,2249734
2010-12-28,182.1,182.77,181.05,181.09,9.0545,1975718
2010-12-29,181.8,184.35,180.41,183.37,9.1685,3122379
2010-12-30,183.92,184.55,182.75,182.75,9.1375,1961549
2010-12-31,181.96,182.3,179.51,180.0,9.0,3453895
2011-01-03,181.37,186.0,181.21,184.22,9.211,5333813
2011-01-04,186.15,187.6995,183.78,185.01,9.2505,5034775
2011-01-05,184.1,187.45,184.07,187.42,9.371,3418779
2011-01-06,186.5,187.41,185.25,185.86,9.293,3179610
