Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,15.08,15.19,15.042,15.12,15.12,333986
2021-07-01,15.13,15.13,14.84,14.89,14.89,229209
2021-07-02,15.02,15.1,14.93,15.0,15.0,367186
2021-07-06,15.08,15.09,14.87,15.01,15.01,653995
2021-07-07,15.0601,15.15,14.84,14.89,14.89,358545
2021-07-08,14.58,14.8,14.49,14.74,14.74,201865
2021-07-09,14.83,14.94,14.74,14.9,14.9,176069
2021-07-12,15.0,15.03,14.86,14.94,14.94,243131
2021-07-13,14.97,15.04,14.86,14.9,14.9,249125
2021-07-14,15.08,15.09,14.72,14.76,14.76,186859
2021-07-15,14.78,14.81,14.41,14.54,14.54,167068
2021-07-16,14.58,14.63,14.33,14.38,14.38,97888
2021-07-19,14.13,14.34,14.031,14.31,14.31,106055
2021-07-20,14.41,14.5,14.24,14.46,14.46,80031
2021-07-21,14.49,14.68,14.485,14.67,14.67,75710
2021-07-22,14.75,14.78,14.64,14.7088,14.7088,86272
2021-07-23,14.85,14.86,14.71,14.8,14.8,164021
2021-07-26,14.73,14.73,14.6,14.63,14.63,114072
2021-07-27,14.56,14.58,14.14,14.36,14.36,130861
2021-07-28,14.5,14.67,14.38,14.6226,14.6226,66995
2021-07-29,14.75,14.79,14.68,14.7173,14.7173,92769
2021-07-30,14.56,14.68,14.52,14.62,14.62,67276
2021-08-02,14.72,14.7225,14.55,14.64,14.64,87711
2021-08-03,14.6,14.62,14.4,14.57,14.57,119306
2021-08-04,14.61,14.72,14.59,14.72,14.72,98578
2021-08-05,14.65,14.7499,14.56,14.73,14.73,220194
2021-08-06,14.7,14.73,14.579,14.65,14.65,143659
2021-08-09,14.71,14.83,14.63,14.8107,14.8107,115247
2021-08-10,14.89,14.97,14.617,14.67,14.67,131568
2021-08-11,14.8,14.81,14.59,14.7,14.7,260877
2021-08-12,14.71,14.75,14.601,14.75,14.75,153521
2021-08-13,14.77,14.82,14.661,14.74,14.74,93899
2021-08-16,14.75,14.76,14.42,14.55,14.55,194217
2021-08-17,14.4,14.4019,14.205,14.31,14.31,199607
2021-08-18,14.38,14.44,14.26,14.27,14.27,222496
2021-08-19,14.14,14.3599,14.05,14.23,14.23,110171
2021-08-20,14.3,14.4699,14.15,14.45,14.45,100029
2021-08-23,14.6,14.76,14.56,14.7498,14.7498,161891
2021-08-24,14.88,14.94,14.82,14.91,14.91,190996
2021-08-25,14.98,15.05,14.9,15.02,15.02,171461
2021-08-26,15.0,15.01,14.7532,14.81,14.81,173937
2021-08-27,14.87,14.99,14.81,14.96,14.96,122997
2021-08-30,15.0,15.08,14.95,15.03,15.03,221500
2021-08-31,15.06,15.13,15.0315,15.11,15.11,155281
2021-09-01,15.22,15.32,15.16,15.24,15.24,1842013
2021-09-02,15.31,15.35,15.17,15.23,15.23,301698
2021-09-03,15.23,15.36,15.23,15.35,15.35,283401
2021-09-07,15.43,15.46,15.3221,15.41,15.41,289620
2021-09-08,15.37,15.3725,15.07,15.21,15.21,374614
2021-09-09,15.14,15.23,15.1,15.18,15.18,217892
2021-09-10,15.21,15.27,15.09,15.12,15.12,158114
2021-09-13,15.18,15.18,14.911,15.03,15.03,351695
2021-09-14,15.07,15.085,14.93,14.99,14.99,122784
2021-09-15,14.97,15.01,14.82,15.01,15.01,165872
2021-09-16,14.95,15.0477,14.88,15.03,15.03,124712
2021-09-17,15.02,15.02,14.855,14.93,14.93,98599
2021-09-20,14.57,14.63,14.26,14.43,14.43,349751
2021-09-21,14.52,14.6199,14.43,14.56,14.56,140429
2021-09-22,14.58,14.75,14.51,14.73,14.73,118366
2021-09-23,14.81,14.93,14.79,14.93,14.93,133193
2021-09-24,14.8,14.92,14.77,14.91,14.91,143940
2021-09-27,14.86,14.86,14.67,14.8,14.8,94517
2021-09-28,14.58,14.58,14.25,14.27,14.27,335011
2021-09-29,14.35,14.36,14.11,14.16,14.16,383356
2021-09-30,14.23,14.26,14.11,14.16,14.16,124490
2021-10-01,14.24,14.25,14.0,14.25,14.25,120143
2021-10-04,14.15,14.15,13.75,13.9,13.9,211957
2021-10-05,13.95,14.1,13.885,14.04,14.04,76306
2021-10-06,13.89,14.115,13.81,14.1,14.1,80926
2021-10-07,14.3,14.475,14.27,14.39,14.39,154569
2021-10-08,14.45,14.45,14.28,14.31,14.31,118739
2021-10-11,14.22,14.405,14.21,14.23,14.23,74377
2021-10-12,14.24,14.27,14.17,14.23,14.23,80131
2021-10-13,14.31,14.44,14.3,14.44,14.44,257245
2021-10-14,14.6,14.65,14.5324,14.64,14.64,103746
2021-10-15,14.75,14.78,14.68,14.78,14.78,177948
2021-10-18,14.73,14.9235,14.73,14.92,14.92,145590
2021-10-19,15.0,15.16,14.97,15.16,15.16,211679
2021-10-20,15.17,15.22,15.03,15.12,15.12,210689
2021-10-21,15.07,15.32,15.06,15.31,15.31,277676
2021-10-22,15.12,15.16,14.88,14.94,14.94,274371
2021-10-25,15.03,15.07,14.8301,15.04,15.04,410574
2021-10-26,15.22,15.24,14.98,15.04,15.04,663555
2021-10-27,15.06,15.14,14.9,14.93,14.93,338916
2021-10-28,15.0,15.25,14.92,15.22,15.22,2215936
2021-10-29,15.18,15.32,15.16,15.32,15.32,1734118
2021-11-01,15.47,15.5,15.37,15.5,15.5,2482332
2021-11-02,15.51,15.52,15.36,15.47,15.47,1446890
2021-11-03,15.5,15.6,15.395,15.6,15.6,1428302
2021-11-04,15.68,15.875,15.63,15.82,15.82,1772318
