Date,Open,High,Low,Close,Adj Close,Volume
2010-10-01,11.85,11.87,11.26,11.35,0.2838,24984553
2010-10-04,11.24,11.43,11.01,11.24,0.281,18737532
2010-10-05,11.48,11.5,11.29,11.32,0.283,18848752
2010-10-06,11.32,11.37,10.67,10.78,0.2695,26447943
2010-10-07,10.83,10.84,10.38,10.7,0.2675,19045872
2010-10-08,10.66,10.95,10.51,10.86,0.2715,17679077
2010-10-11,10.91,11.0,10.76,10.81,0.2703,11075041
2010-10-12,10.72,11.07,10.63,11.015,0.2754,15130183
2010-10-13,11.2,11.5,11.08,11.34,0.2835,24220288
2010-10-14,11.35,11.37,11.11,11.16,0.279,14979261
2010-10-15,11.34,11.47,11.16,11.2895,0.2823,16000083
2010-10-18,11.3,11.41,11.1,11.36,0.284,11213883
2010-10-19,11.1101,11.37,11.02,11.2875,0.2822,21653337
2010-10-20,11.3,11.6,11.1,11.29,0.2823,19089701
2010-10-21,11.3,11.32,10.92,11.09,0.2773,25360684
2010-10-22,11.16,11.89,11.04,11.8,0.295,33069658
2010-10-25,11.89,11.995,11.78,11.91,0.2978,16834614
2010-10-26,11.77,12.05,11.67,11.87,0.2968,16882248
2010-10-27,11.76,12.08,11.73,12.04,0.301,12421238
2010-10-28,12.2,12.24,11.94,12.05,0.3013,17620461
2010-10-29,12.03,12.15,11.9,12.0205,0.3005,13872645
2010-11-01,12.1,12.29,11.94,12.04,0.301,11848207
2010-11-02,12.09,12.49,12.02,12.285,0.3071,14526076
2010-11-03,12.37,12.46,12.05,12.38,0.3095,16794678
2010-11-04,12.5,12.63,12.38,12.4,0.31,17500355
2010-11-05,12.4901,12.72,12.43,12.605,0.3151,18379982
2010-11-08,12.6,12.77,12.5,12.6575,0.3165,15129109
2010-11-09,12.66,12.76,12.52,12.59,0.3147,15857579
2010-11-10,12.68,12.74,12.5,12.74,0.3185,13028711
2010-11-11,12.44,12.82,12.27,12.611,0.3153,27249456
2010-11-12,13.09,13.68,13.03,13.26,0.3315,53563896
2010-11-15,13.32,13.51,13.07,13.1005,0.3275,18346135
2010-11-16,12.8801,13.06,12.69,12.7125,0.3178,18486450
2010-11-17,12.7,13.07,12.58,12.92,0.323,13794481
2010-11-18,13.09,13.45,13.09,13.32,0.333,24831876
2010-11-19,13.29,13.8,13.27,13.752,0.3438,17915198
2010-11-22,13.66,13.84,13.54,13.76,0.344,11566687
2010-11-23,13.6,13.74,13.34,13.44,0.336,11446213
2010-11-24,13.58,13.82,13.57,13.77,0.3443,9946748
2010-11-26,13.76,13.84,13.64,13.64,0.341,3577967
2010-11-29,13.54,13.8,13.48,13.75,0.3438,11705762
2010-11-30,13.54,13.68,13.36,13.609,0.3402,18023328
2010-12-01,13.88,14.295,13.86,14.21,0.3553,15663618
