Date,Open,High,Low,Close,Adj Close,Volume
2011-03-23,55.19,55.87,54.82,55.71,55.71,60365084
2011-03-24,56.12,56.82,55.82,56.7,56.7,69502337
2011-03-25,56.89,57.22,56.76,56.84,56.84,74133872
2011-03-28,57.09,57.1,56.5,56.53,56.53,37823728
2011-03-29,56.4,57.08,56.23,57.08,57.08,47994651
2011-03-30,57.36,57.43,57.08,57.35,57.35,44935856
2011-03-31,57.25,57.48,57.15,57.43,57.43,50143329
2011-04-01,57.72,57.9,57.29,57.46,57.46,68031747
2011-04-04,57.62,57.68,57.02,57.27,57.27,48659037
2011-04-05,57.16,57.49,57.0,57.12,57.12,55384927
2011-04-06,57.54,57.73,56.93,57.26,57.26,49532055
2011-04-07,57.23,57.6,56.81,57.22,57.22,60705865
2011-04-08,57.48,57.57,56.65,56.95,56.95,42782112
2011-04-11,57.16,57.29,56.56,56.76,56.76,42451617
2011-04-12,56.52,56.64,56.15,56.37,56.37,50642854
2011-04-13,56.77,57.0,56.4,56.85,56.85,49979733
2011-04-14,56.45,56.83,56.23,56.75,56.75,53544091
2011-04-15,56.53,56.87,56.28,56.65,56.65,68529967
2011-04-18,56.09,56.27,55.32,56.25,56.25,69073433
2011-04-19,56.39,56.6,56.1,56.6,56.6,38608391
2011-04-20,57.59,57.94,56.6051,57.875,57.875,67397439
2011-04-21,58.47,58.47,58.16,58.34,58.34,43666772
2011-04-25,58.4,58.52,58.28,58.49,58.49,25376716
2011-04-26,58.65,59.03,58.51,58.82,58.82,49392732
2011-04-27,58.9,59.29,58.66,59.22,59.22,56465494
2011-04-28,59.06,59.23,58.88,59.13,59.13,48138342
2011-04-29,59.04,59.29,58.98,59.08,59.08,44831144
2011-05-02,59.19,59.34,58.82,58.97,58.97,48149385
2011-05-03,58.95,59.0,58.33,58.69,58.69,38143408
2011-05-04,58.72,58.87,58.11,58.6,58.6,53105014
2011-05-05,58.32,58.97,58.08,58.28,58.28,72153289
2011-05-06,58.86,59.2,58.31,58.47,58.47,72506775
2011-05-09,58.56,58.92,58.34,58.69,58.69,40028981
2011-05-10,58.87,59.28,58.775,59.19,59.19,38053599
2011-05-11,59.1,59.31,58.36,58.755,58.755,61908940
2011-05-12,58.56,59.19,58.24,59.11,59.11,66128159
2011-05-13,58.98,59.07,58.39,58.41,58.41,63506567
2011-05-16,58.16,58.32,57.27,57.399,57.399,73140221
2011-05-17,57.12,57.57,56.98,57.56,57.56,63176058
2011-05-18,57.48,58.14,57.41,58.04,58.04,42351089
2011-05-19,58.23,58.34,57.85,58.21,58.21,35024234
2011-05-20,58.15,58.21,57.69,57.765,57.765,44703175
2011-05-23,56.99,57.15,56.65,56.92,56.92,43678437
2011-05-24,57.07,57.07,56.56,56.57,56.57,39314212
2011-05-25,56.49,57.06,56.47,56.79,56.79,41368976
2011-05-26,56.62,57.3,56.61,57.1415,57.1415,40564078
2011-05-27,57.24,57.49,57.19,57.43,57.43,30132087
2011-05-31,57.97,58.36,57.67,58.36,58.36,47588058
2011-06-01,58.22,58.36,57.04,57.09,57.09,51792337
2011-06-02,57.21,57.41,56.89,57.21,57.21,50198045
2011-06-03,56.56,56.99,56.27,56.35,56.35,57773681
2011-06-06,56.24,56.53,55.86,55.89,55.89,50175542
2011-06-07,56.05,56.26,55.75,55.79,55.79,46311059
2011-06-08,55.67,55.77,55.23,55.39,55.39,46426380
2011-06-09,55.37,55.76,55.23,55.485,55.485,45307498
2011-06-10,55.23,55.34,54.59,54.64,54.64,53740540
2011-06-13,54.71,54.93,54.45,54.64,54.64,37745669
